Learning Rate,Convergence,Mean Convergence Epoch,Saturated neurons,Mean Convergence Loss,Mean Non Convergence Loss,Mean Loss,Least Loss
0.005,28.8,24217.2,0.6,0.0499988,1.50468,1.08573,0.0499975
0.015,29,8071.76,0.6,0.0499964,1.50878,1.08573,0.0499924
0.044,29,2751.86,0.6,0.0499896,1.50878,1.08573,0.0499779
0.13,29,931.517,0.8,0.0499702,1.51025,1.08677,0.0499347
0.385,29,314.683,0.8,0.0499087,1.51025,1.08675,0.0498052
1.14,28.8,106.278,0.8,0.0497177,1.51138,1.09042,0.0494304
3.376,25.8,35.9845,9,0.049113,1.56126,1.17112,0.0478992
10,2.2,11.6364,75.8,0.0474131,2.64959,2.59234,0.0447758
