Learning Rate,Convergence,Mean Convergence Epoch,Saturated neurons,Mean Convergence Loss,Mean Non Convergence Loss,Mean Loss,Least Loss
0.005,71.4,198564,74.2,0.0499998,1.39367,0.434289,0.0499995
0.015,71.6,66267.9,74.2,0.0499995,1.40311,0.434284,0.0499989
0.044,72,22641.3,74.2,0.0499985,1.4128,0.431584,0.0499969
0.13,71.8,7646.31,74.2,0.0499959,1.41269,0.434277,0.0499911
0.385,71.6,2577.57,74.2,0.0499875,1.4126,0.436968,0.049974
1.14,71.4,871.765,74,0.049965,1.41251,0.439653,0.0499233
3.376,71.8,295.811,73.8,0.0498915,1.41666,0.435321,0.0497731
10,49.6,109.262,88.8,0.0496569,1.46968,0.765347,0.0492887
