Learning Rate,Convergence,Mean Convergence Epoch,Saturated neurons,Mean Convergence Loss,Mean Non Convergence Loss,Mean Loss,Least Loss
0.005,33,41825.1,0.6,0.0499989,1.8751,1.27281,0.0499976
0.015,33.2,13905.7,0.4,0.0499966,1.88059,1.27283,0.049993
0.044,33,4496.46,1.4,0.04999,1.8752,1.27288,0.0499795
0.13,33,1524.3,0.6,0.0499723,1.88174,1.27726,0.0499395
0.385,33.2,544.133,0.4,0.0499204,1.88225,1.27392,0.0498207
1.14,32.2,148.193,0.4,0.0497461,1.88738,1.29566,0.0494677
3.376,37,96.0378,2.6,0.0493029,1.89716,1.21345,0.0484209
10,11.6,81.1897,83.6,0.0235851,23.3799,20.6705,4.76837e-07
